state,plate_title,plate_img,source_img,source
CA,"Manufacturers - Motorcycle, Blue + Gold",mfrmcblugld.gif,https://www.dmv.ca.gov/portal/uploads/2020/03/mfrmcblugld.gif,https://www.dmv.ca.gov/portal/vehicle-registration/license-plates-decals-and-placards/california-license-plates/special-license-plates/
CA,Manufacturers - Script,mfrscript.gif,https://www.dmv.ca.gov/portal/uploads/2020/03/mfrscript.gif,https://www.dmv.ca.gov/portal/vehicle-registration/license-plates-decals-and-placards/california-license-plates/special-license-plates/
CA,Moped,moped.gif,https://www.dmv.ca.gov/portal/uploads/2020/03/moped.gif,https://www.dmv.ca.gov/portal/vehicle-registration/license-plates-decals-and-placards/california-license-plates/special-license-plates/
CA,Motorcycles,mot-1.gif,https://www.dmv.ca.gov/portal/uploads/2020/02/mot-1.gif,https://www.dmv.ca.gov/portal/vehicle-registration/license-plates-decals-and-placards/california-license-plates/standard-license-plates/
CA,Motorcycles - Blue + Gold,mot-2.gif,https://www.dmv.ca.gov/portal/uploads/2020/02/mot-2.gif,https://www.dmv.ca.gov/portal/vehicle-registration/license-plates-decals-and-placards/california-license-plates/standard-license-plates/
CA,"Olympic Games, 1984 - ELP",olymgamesELP.gif,https://www.dmv.ca.gov/portal/uploads/2020/03/olymgamesELP.gif,https://www.dmv.ca.gov/portal/vehicle-registration/license-plates-decals-and-placards/california-license-plates/special-license-plates/
CA,"Olympic Games, 1984 - Motorcycle",olymgamesmc.gif,https://www.dmv.ca.gov/portal/uploads/2020/03/olymgamesmc.gif,https://www.dmv.ca.gov/portal/vehicle-registration/license-plates-decals-and-placards/california-license-plates/special-license-plates/
CA,Standard - Script,pass-1.gif,https://www.dmv.ca.gov/portal/uploads/2020/02/pass-1.gif,https://www.dmv.ca.gov/portal/vehicle-registration/license-plates-decals-and-placards/california-license-plates/standard-license-plates/
CA,Standard - Block,pass-2.gif,https://www.dmv.ca.gov/portal/uploads/2020/02/pass-2.gif,https://www.dmv.ca.gov/portal/vehicle-registration/license-plates-decals-and-placards/california-license-plates/standard-license-plates/
CA,Standard - Sun,pass-3.gif,https://www.dmv.ca.gov/portal/uploads/2020/02/pass-3.gif,https://www.dmv.ca.gov/portal/vehicle-registration/license-plates-decals-and-placards/california-license-plates/standard-license-plates/
CA,Standard - Bue + Gold 1,pass-4.gif,https://www.dmv.ca.gov/portal/uploads/2020/02/pass-4.gif,https://www.dmv.ca.gov/portal/vehicle-registration/license-plates-decals-and-placards/california-license-plates/standard-license-plates/
CA,Standard - Bue + Gold 2,pass-5.gif,https://www.dmv.ca.gov/portal/uploads/2020/02/pass-5.gif,https://www.dmv.ca.gov/portal/vehicle-registration/license-plates-decals-and-placards/california-license-plates/standard-license-plates/
CA,Standard - Black + Gold,pass-6.gif,https://www.dmv.ca.gov/portal/uploads/2020/02/pass-6.gif,https://www.dmv.ca.gov/portal/vehicle-registration/license-plates-decals-and-placards/california-license-plates/standard-license-plates/
CA,Pearl Harbor Survivor,pearlharbor.gif,https://www.dmv.ca.gov/portal/uploads/2020/03/pearlharbor.gif,https://www.dmv.ca.gov/portal/vehicle-registration/license-plates-decals-and-placards/california-license-plates/special-license-plates/
CA,Pet Lovers - Motorcycle,pet_lovers_mc.jpg,https://www.dmv.ca.gov/portal/uploads/2020/02/pet_lovers_mc.jpg,https://www.dmv.ca.gov/portal/vehicle-registration/license-plates-decals-and-placards/california-license-plates/special-interest-license-plates/
CA,Pet Lovers,pet_lovers.jpg,https://www.dmv.ca.gov/portal/uploads/2020/02/pet_lovers.jpg,https://www.dmv.ca.gov/portal/vehicle-registration/license-plates-decals-and-placards/california-license-plates/special-interest-license-plates/
CA,Breast Cancer Awareness - Motorcycle,pinkplate.png,https://www.dmv.ca.gov/portal/uploads/2020/02/pinkplate.png,https://www.dmv.ca.gov/portal/vehicle-registration/license-plates-decals-and-placards/california-license-plates/special-interest-license-plates/
CA,Breast Cancer Awareness,pinkribbon.jpg,https://www.dmv.ca.gov/portal/uploads/2020/02/pinkribbon.jpg,https://www.dmv.ca.gov/portal/vehicle-registration/license-plates-decals-and-placards/california-license-plates/special-interest-license-plates/
CA,LEGACY,plate_1960_1.jpg,https://www.dmv.ca.gov/portal/uploads/2020/02/plate_1960_1.jpg,https://www.dmv.ca.gov/portal/vehicle-registration/license-plates-decals-and-placards/california-license-plates/special-interest-license-plates/
CA,LEGACY - Motorcycle,plate_1960_2.png,https://www.dmv.ca.gov/portal/uploads/2020/02/plate_1960_2.png,https://www.dmv.ca.gov/portal/vehicle-registration/license-plates-decals-and-placards/california-license-plates/special-interest-license-plates/
CA,Ex-Prisoner of War - Block,POWBlock.gif,https://www.dmv.ca.gov/portal/uploads/2020/03/POWBlock.gif,https://www.dmv.ca.gov/portal/vehicle-registration/license-plates-decals-and-placards/california-license-plates/special-license-plates/
CA,Ex-Prisoner of War - Blue + Gold,POWblugld.gif,https://www.dmv.ca.gov/portal/uploads/2020/03/POWblugld.gif,https://www.dmv.ca.gov/portal/vehicle-registration/license-plates-decals-and-placards/california-license-plates/special-license-plates/
CA,Ex-Prisoner of War - Script,POWScript.gif,https://www.dmv.ca.gov/portal/uploads/2020/03/POWScript.gif,https://www.dmv.ca.gov/portal/vehicle-registration/license-plates-decals-and-placards/california-license-plates/special-license-plates/
CA,Ex-Prisoner of War - Sun,POWSun.gif,https://www.dmv.ca.gov/portal/uploads/2020/03/POWSun.gif,https://www.dmv.ca.gov/portal/vehicle-registration/license-plates-decals-and-placards/california-license-plates/special-license-plates/
CA,Press Photographer - Block,pressphotogblok.gif,https://www.dmv.ca.gov/portal/uploads/2020/03/pressphotogblok.gif,https://www.dmv.ca.gov/portal/vehicle-registration/license-plates-decals-and-placards/california-license-plates/special-license-plates/
CA,Press Photographer - Blue + Gold,pressphotogblugld.gif,https://www.dmv.ca.gov/portal/uploads/2020/03/pressphotogblugld.gif,https://www.dmv.ca.gov/portal/vehicle-registration/license-plates-decals-and-placards/california-license-plates/special-license-plates/
CA,Press Photographer - Motorcycle,PressPhotogMC.gif,https://www.dmv.ca.gov/portal/uploads/2020/03/PressPhotogMC.gif,https://www.dmv.ca.gov/portal/vehicle-registration/license-plates-decals-and-placards/california-license-plates/special-license-plates/
CA,Purple Heart - Auto,prplheartautocomltrlr.gif,https://www.dmv.ca.gov/portal/uploads/2020/03/prplheartautocomltrlr.gif,https://www.dmv.ca.gov/portal/vehicle-registration/license-plates-decals-and-placards/california-license-plates/special-license-plates/
CA,Purple Heart - Motorcycle,prplheartmc.gif,https://www.dmv.ca.gov/portal/uploads/2020/03/prplheartmc.gif,https://www.dmv.ca.gov/portal/vehicle-registration/license-plates-decals-and-placards/california-license-plates/special-license-plates/
CA,Permanent Trailers,PTIPlate.gif,https://www.dmv.ca.gov/portal/uploads/2020/02/PTIPlate.gif,https://www.dmv.ca.gov/portal/vehicle-registration/license-plates-decals-and-placards/california-license-plates/standard-license-plates/
CA,Remanufacturers - Block,RmfBlock.gif,https://www.dmv.ca.gov/portal/uploads/2020/03/RmfBlock.gif,https://www.dmv.ca.gov/portal/vehicle-registration/license-plates-decals-and-placards/california-license-plates/special-license-plates/
CA,Remanufacturers - Blue,RmfBlue.gif,https://www.dmv.ca.gov/portal/uploads/2020/03/RmfBlue.gif,https://www.dmv.ca.gov/portal/vehicle-registration/license-plates-decals-and-placards/california-license-plates/special-license-plates/
CA,Remanufacturers - Script,RmfScript.gif,https://www.dmv.ca.gov/portal/uploads/2020/03/RmfScript.gif,https://www.dmv.ca.gov/portal/vehicle-registration/license-plates-decals-and-placards/california-license-plates/special-license-plates/
CA,Remanufacturers - Sun,RmfSun.gif,https://www.dmv.ca.gov/portal/uploads/2020/03/RmfSun.gif,https://www.dmv.ca.gov/portal/vehicle-registration/license-plates-decals-and-placards/california-license-plates/special-license-plates/
CA,California Museums (Snoopy),snoopy.jpg,https://www.dmv.ca.gov/portal/uploads/2020/02/snoopy.jpg,https://www.dmv.ca.gov/portal/vehicle-registration/license-plates-decals-and-placards/california-license-plates/special-interest-license-plates/
CA,California Museums (Snoopy) - Motorcycle,snoopymotorcycleplate1.jpg,https://www.dmv.ca.gov/portal/uploads/2020/02/snoopymotorcycleplate1.jpg,https://www.dmv.ca.gov/portal/vehicle-registration/license-plates-decals-and-placards/california-license-plates/special-interest-license-plates/
CA,Special Equipment,specequip.gif,https://www.dmv.ca.gov/portal/uploads/2020/03/specequip.gif,https://www.dmv.ca.gov/portal/vehicle-registration/license-plates-decals-and-placards/california-license-plates/special-license-plates/
CA,Special Equipment Dealers and Manufacturers,specequipdlfmfr.gif,https://www.dmv.ca.gov/portal/uploads/2020/03/specequipdlfmfr.gif,https://www.dmv.ca.gov/portal/vehicle-registration/license-plates-decals-and-placards/california-license-plates/special-license-plates/
